date,node,count
2023/12/01,BRIGHTSD_U1,24
2023/12/01,WEBBER_WS_T1,24
2023/12/01,FLTCK_SSI,24
2023/12/01,FTR_FTR_G1_4,24
2023/12/01,TORR_ALL,24
2023/12/01,RIONOG_ST1,24
2023/12/01,PNPI_GT2_RN,24
2023/12/01,PANDA_S_ST1,24
2023/12/01,MYR_ALL,24
2023/12/01,PTLBES_BESS1,24
2023/12/01,B_DAVIS_CC1,24
2023/12/01,PRO_RN,24
2023/12/01,GUADG_CC1,24
2023/12/01,GUADG_CC2,24
2023/12/01,WL_RANCH_RN,24
2023/12/01,TRINITY_ALL,24
2023/12/01,PANDA_T1_CT1,24
2023/12/01,PANDA_T1_CT2,24
2023/12/01,OXY_PUN1,24
2023/12/01,OXY_PUN2,24
2023/12/01,MASSENGL_CC1,24
2023/12/01,BRP_RN_UNIT1,24
2023/12/01,THW_2_CCU,24
2023/12/01,MESQCRK_ALL,24
2023/12/01,CBECII_89,24
2023/12/01,QUEEN_SL_RN,24
2023/12/01,SKY1,24
2023/12/01,PEY_RN,24
2023/12/01,LPCCS_CC1,24
2023/12/01,LPCCS_CC2,24
2023/12/01,CBECII_CC3,24
2023/12/01,BAC_RN_ALL,24
2023/12/01,INGLCOSW_CC1,24
2023/12/01,T_CK_GT2_RN,24
2023/12/01,KARAKAW2_1,24
2023/12/01,COTTON_PAP2,24
2023/12/01,LNCRK_ALL,24
2023/12/01,DAG_ALL,24
2023/12/01,BR_ARROW_ALL,24
2023/12/01,SIRIUS_UNIT1,24
2023/12/01,MCDLD_FCSBW1,24
2023/12/01,LPCCS_CT11,24
2023/12/01,HRZN_SLR_UN1,24
2023/12/01,LPCCS_CT12,24
2023/12/01,LMAJADAS_ALL,24
2023/12/01,FO_FORMOSG1,24
2023/12/01,AUSTPL_ALL,24
2023/12/01,FO_FORMOSG2,24
2023/12/01,DDPEC_ST1,24
2023/12/01,FO_FORMOSG3,24
2023/12/01,FO_FORMOSG4,24
2023/12/01,WHCCS2_5_6,24
2023/12/01,COYOTSPR_RN,24
2023/12/01,FO_FORMOSG5,24
2023/12/01,FO_FORMOSG6,24
2023/12/01,FO_FORMOSG7,24
2023/12/01,FO_FORMOSG8,24
2023/12/01,FO_FORMOSG9,24
2023/12/01,BRPMAGNO_RN,24
2023/12/01,WNDTS2_UNIT1,24
2023/12/01,TGCCS_ALL,24
2023/12/01,CBECII_1,24
2023/12/01,PALE_ESS_EN,24
2023/12/01,CBECII_2,24
2023/12/01,HHGT_KENDAL,24
2023/12/01,T_CK_GT3_RN,24
2023/12/01,CONTINEN_RN,24
2023/12/01,DDPEC_GT1,24
2023/12/01,FRNYPP_2_CCU,24
2023/12/01,DDPEC_GT2,24
2023/12/01,DDPEC_GT3,24
2023/12/01,ROUTE66_RN,24
2023/12/01,DDPEC_GT4,24
2023/12/01,PITSDD_UNIT1,24
2023/12/01,DDPEC_GT6,24
2023/12/01,TRIPBUT1_RN,24
2023/12/01,ENAS_ENA1,24
2023/12/01,PB2SES_CT1,24
2023/12/01,SBEAN_BESS,24
2023/12/01,PB2SES_CT2,24
2023/12/01,PB2SES_CT3,24
2023/12/01,SSPURT_WIND1,24
2023/12/01,PB2SES_CT4,24
2023/12/01,PB2SES_CT5,24
2023/12/01,ENDPARK_ESS1,24
2023/12/01,LZ_SOUTH,24
2023/12/01,CHAMON_UN1,24
2023/12/01,AMO_AMOCO_1,24
2023/12/01,CHAMON_UN2,24
2023/12/01,HHOLLW2_WND1,24
2023/12/01,AMO_AMOCO_2,24
2023/12/01,CCEC_PUN1,24
2023/12/01,BYU_CC1,24
2023/12/01,CCEC_PUN2,24
2023/12/01,COTPLNS_RN,24
2023/12/01,AMO_AMOCO_5,24
2023/12/01,TXCTY_CC1,24
2023/12/01,LZ_WEST,24
2023/12/01,HLSES_UNIT3,24
2023/12/01,MIL_MILG345,24
2023/12/01,HLSES_UNIT4,24
2023/12/01,HLSES_UNIT5,24
2023/12/01,RAYBURN_CC1,24
2023/12/01,CHE_PUN1,24
2023/12/01,FTWIND_UNIT1,24
2023/12/01,CHE_PUN2,24
2023/12/01,SANDHSYD_5AC,24
2023/12/01,HRBESS_BESS,24
2023/12/01,DIBOL_RN,24
2023/12/01,ELB_ELBCREEK,24
2023/12/01,FLCNS_UNIT1,24
2023/12/01,FLCNS_UNIT2,24
2023/12/01,FLCNS_UNIT3,24
2023/12/01,VIC_VICTORG5,24
2023/12/01,VIC_VICTORG6,24
2023/12/01,ELSA_ESR_RN,24
2023/12/01,RN_BYU_G8,24
2023/12/01,ARAGORN_RN,24
2023/12/01,HOUSEMTN_RN,24
2023/12/01,HICK_G1_G2,24
2023/12/01,FO_FORMOSA11,24
2023/12/01,FO_FORMOSA12,24
2023/12/01,RELOJ_ALL,24
2023/12/01,GID_GIDEONG1,24
2023/12/01,AMO_AMOCO_S1,24
2023/12/01,GID_GIDEONG2,24
2023/12/01,LFSTH_RN,24
2023/12/01,AMO_AMOCO_S2,24
2023/12/01,GID_GIDEONG3,24
2023/12/01,MV_VALV4_RN,24
2023/12/01,AMO_AMOCO_G1,24
2023/12/01,BYU_BYU_1,24
2023/12/01,AMO_AMOCO_G2,24
2023/12/01,MYRY_ESR_RN,24
2023/12/01,BCK_RN,24
2023/12/01,AMO_AMOCO_G3,24
2023/12/01,BYU_BYU_12,24
2023/12/01,BRHEIGHT_RN,24
2023/12/01,SAMSON_ALL,24
2023/12/01,AQUI_ALL,24
2023/12/01,WCPP_ST1,24
2023/12/01,FREC_1_CCU,24
2023/12/01,GOODNIT1_ALL,24
2023/12/01,BRP_PBL1_RN,24
2023/12/01,HORSCR_RN,24
2023/12/01,PR_PR_G2,24
2023/12/01,SL_PUN1,24
2023/12/01,SL_PUN2,24
2023/12/01,INDNNWP_RN,24
2023/12/01,TRSES_UNIT6,24
2023/12/01,BOARDCRK_ALL,24
2023/12/01,NCO_RN,24
2023/12/01,WAKEWE_ALL,24
2023/12/01,LGE_LGE_GT1,24
2023/12/01,LGE_LGE_GT2,24
2023/12/01,PLN_ALL,24
2023/12/01,LGE_LGE_STG,24
2023/12/01,HOPKNSLR_ALL,24
2023/12/01,RVRVLYS_ALL,24
2023/12/01,SWTWN4_WND45,24
2023/12/01,BCH_RN,24
2023/12/01,CATARINA_B1,24
2023/12/01,LBRA_BES1,24
2023/12/01,CCEC_ST1,24
2023/12/01,SWEC_G1,24
2023/12/01,BRP_PBL2_RN,24
2023/12/01,FOARDCTY_ALL,24
2023/12/01,RSK_RN,24
2023/12/01,CHE_CC1,24
2023/12/01,RRANCHES_ALL,24
2023/12/01,REDFISH_ALL,24
2023/12/01,HB_PAN,24
2023/12/01,NED_NEDIN_G1,24
2023/12/01,TC_PUN1,24
2023/12/01,NED_NEDIN_G2,24
2023/12/01,CCEC_GT1,24
2023/12/01,TC_PUN2,24
2023/12/01,PYR_PYRON1,24
2023/12/01,NED_NEDIN_G3,24
2023/12/01,CCEC_GT2,24
2023/12/01,TNP_TNP_O_1,24
2023/12/01,TNP_TNP_O_2,24
2023/12/01,LZ_NORTH,24
2023/12/01,CAL_CC1,24
2023/12/01,LV1A_LV1B,24
2023/12/01,WHCCS2_CC2,24
2023/12/01,RAMBLER_UNIT,24
2023/12/01,BOSQ_BSQS_34,24
2023/12/01,WOV_BESS_RN,24
2023/12/01,JACKCNTY_CT1,24
2023/12/01,PHOENIX_RN,24
2023/12/01,JACKCNTY_CT2,24
2023/12/01,DOW_G66_ST65,24
2023/12/01,FALFUR_RN,24
2023/12/01,WFCOGEN_13,24
2023/12/01,OECCS_1,24
2023/12/01,OECCS_2,24
2023/12/01,BRP_LOP1_RN,24
2023/12/01,SCSES_UNIT2,24
2023/12/01,CVC_CVCG1_5,24
2023/12/01,BUCKTHRN_RN,24
2023/12/01,PSA_PSA_G1,24
2023/12/01,TORT_ESS_RN,24
2023/12/01,PSA_PSA_G2,24
2023/12/01,CRWN_SLR_UN1,24
2023/12/01,PSA_PSA_G3,24
2023/12/01,PSA_PSA_G4,24
2023/12/01,PSA_PSA_G5,24
2023/12/01,E_BLACK_RN,24
2023/12/01,BORDAS_345,24
2023/12/01,PSA_PSA_G6,24
2023/12/01,PSA_PSA_G7,24
2023/12/01,TNSKA_CC1,24
2023/12/01,PH1_UNIT1_2,24
2023/12/01,SENATEWD_1,24
2023/12/01,LZ_RAYBN,24
2023/12/01,JCKCNTY2_ST2,24
2023/12/01,GRSES_UNIT1,24
2023/12/01,GRDNE_ESR_RN,24
2023/12/01,SHAFFER_ALL,24
2023/12/01,RN_APOGEE,24
2023/12/01,GRSES_UNIT2,24
2023/12/01,LHM_PUN1,24
2023/12/01,DOW_61_2_63,24
2023/12/01,RAT_RN_1,24
2023/12/01,LHM_PUN2,24
2023/12/01,KELAMSL_U1,24
2023/12/01,FERGCC_CC1,24
2023/12/01,CANYONWD_ALL,24
2023/12/01,L_FRE_ESR_RN,24
2023/12/01,THW_THWGT_1,24
2023/12/01,MUSTNGCK_ALL,24
2023/12/01,NOVA2S_UNIT1,24
2023/12/01,PSA_CC1,24
2023/12/01,X443ESRN,24
2023/12/01,VERTIGO_UN1,24
2023/12/01,DOW_64,24
2023/12/01,WIPOPA_1_2,24
2023/12/01,BRISCOE_WIND,24
2023/12/01,BR_VHB6CT5_6,24
2023/12/01,TXCTY_ST,24
2023/12/01,DIB_PUN1,24
2023/12/01,DIB_PUN2,24
2023/12/01,MIRAGE_G1,24
2023/12/01,FERGCC_GT1_1,24
2023/12/01,CITYVICT_ALL,24
2023/12/01,EXN_14,24
2023/12/01,TNSKA_CCU,24
2023/12/01,EXN_9_13,24
2023/12/01,ANACACHO_ANA,24
2023/12/01,TAHOKA_ALL,24
2023/12/01,CAPRIDGE_ALL,24
2023/12/01,LV3_UNIT1,24
2023/12/01,SALVTION_GEN,24
2023/12/01,BULLCRK_1_2,24
2023/12/01,RN_SR_WIND1,24
2023/12/01,HORSECRK_RN,24
2023/12/01,CAPRIDG4_CR4,24
2023/12/01,BRIGHTSD_RN,24
2023/12/01,INDNENR_1_RN,24
2023/12/01,EXN_4,24
2023/12/01,STAM_SLR_ALL,24
2023/12/01,EXN_8,24
2023/12/01,LARDVFTN_G4,24
2023/12/01,LARDVFTN_G5,24
2023/12/01,BUCHAN_ALL,24
2023/12/01,H_HOLLO_WND1,24
2023/12/01,TC_TCHP1,24
2023/12/01,CBECII_CT7,24
2023/12/01,CAMWIND_RN,24
2023/12/01,PALMWI_UNIT1,24
2023/12/01,MADERO_RN,24
2023/12/01,RADN_SLR_ALL,24
2023/12/01,JC_BAT_RN,24
2023/12/01,MIRASOLE_GEN,24
2023/12/01,DIB_DIB_G1,24
2023/12/01,EIFSLR_UNIT1,24
2023/12/01,DIB_DIB_G2,24
2023/12/01,DIB_DIB_G3,24
2023/12/01,DIB_DIB_G4,24
2023/12/01,SANDHSYD6_7,24
2023/12/01,KINGE_ALL,24
2023/12/01,GRANDVW1_A_B,24
2023/12/01,B_D_B_DAVIG1,24
2023/12/01,INDNENR_2_RN,24
2023/12/01,B_D_B_DAVIG2,24
2023/12/01,WRSBES_BESS1,24
2023/12/01,BRANDON_RN,24
2023/12/01,TGS_GT01,24
2023/12/01,LPCCS_CT21,24
2023/12/01,LPCCS_CT22,24
2023/12/01,CBY_CBY_G1,24
2023/12/01,HOLCOMB_RN1,24
2023/12/01,CBY_CBY_G2,24
